OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11-3020,Computer and Information Systems Managers,broad,"391,430",0.7,73.49,"152,860",0.4,41.05,52.94,68.53,86.63,#,"85,380","110,110","142,530","180,190",#,,
11-3021,Computer and Information Systems Managers,detailed,"391,430",0.7,73.49,"152,860",0.4,41.05,52.94,68.53,86.63,#,"85,380","110,110","142,530","180,190",#,,
15-0000,Computer and Mathematical Occupations,major,"4,384,300",0.5,44.01,"91,530",0.4,21.41,29.64,41.51,55.98,71.12,"44,530","61,640","86,340","116,440","147,920",,
15-1100,Computer Occupations,minor,"4,214,820",0.5,43.98,"91,480",0.4,21.32,29.58,41.50,56.02,71.15,"44,350","61,520","86,320","116,520","147,990",,
15-1110,Computer and Information Research Scientists,broad,"30,070",3.4,59.54,"123,850",1.3,33.28,44.06,56.91,71.86,88.38,"69,230","91,650","118,370","149,470","183,820",,
15-1111,Computer and Information Research Scientists,detailed,"30,070",3.4,59.54,"123,850",1.3,33.28,44.06,56.91,71.86,88.38,"69,230","91,650","118,370","149,470","183,820",,
15-1120,Computer and Information Analysts,broad,"696,030",0.9,45.67,"94,990",0.3,26.28,33.36,43.31,55.75,70.01,"54,670","69,390","90,080","115,970","145,620",,
15-1121,Computer Systems Analysts,detailed,"587,970",1.0,45.01,"93,610",0.3,26.14,33.04,42.66,54.55,68.38,"54,360","68,730","88,740","113,460","142,220",,
15-1130,Software Developers and Programmers,broad,"1,666,270",1.2,50.23,"104,480",0.7,27.20,36.07,48.04,61.70,76.78,"56,570","75,020","99,920","128,330","159,700",,
15-1131,Computer Programmers,detailed,"230,470",2.4,43.07,"89,580",1.3,23.46,30.97,40.52,52.46,64.73,"48,790","64,410","84,280","109,120","134,630",,
15-1142,Network and Computer Systems Administrators,detailed,"366,250",0.8,41.86,"87,070",0.3,24.51,30.78,39.45,50.47,62.85,"50,990","64,010","82,050","104,970","130,720",,
15-1143,Computer Network Architects,detailed,"152,670",1.6,53.43,"111,130",0.6,29.00,39.40,52.41,66.26,78.98,"60,310","81,960","109,020","137,820","164,280",,
15-1150,Computer Support Specialists,broad,"812,060",0.8,27.86,"57,950",0.3,15.56,19.69,25.70,33.84,44.30,"32,350","40,950","53,470","70,380","92,150",,
15-1151,Computer User Support Specialists,detailed,"630,700",0.8,26.46,"55,050",0.4,15.01,18.90,24.51,31.56,40.63,"31,220","39,310","50,980","65,640","84,510",,
15-1152,Computer Network Support Specialists,detailed,"181,360",1.4,32.72,"68,050",0.5,18.40,23.16,30.18,39.56,50.85,"38,270","48,160","62,770","82,290","105,770",,
15-1190,Miscellaneous Computer Occupations,broad,"381,380",0.9,44.88,"93,350",0.4,22.77,31.93,43.40,56.28,69.62,"47,350","66,410","90,270","117,070","144,820",,
15-1199,"Computer Occupations, All Other",detailed,"381,380",0.9,44.88,"93,350",0.4,22.77,31.93,43.40,56.28,69.62,"47,350","66,410","90,270","117,070","144,820",,
17-2060,Computer Hardware Engineers,broad,"60,750",3.0,56.66,"117,840",1.1,32.07,41.71,55.10,70.20,83.00,"66,700","86,760","114,600","146,020","172,630",,
17-2061,Computer Hardware Engineers,detailed,"60,750",3.0,56.66,"117,840",1.1,32.07,41.71,55.10,70.20,83.00,"66,700","86,760","114,600","146,020","172,630",,
17-2072,"Electronics Engineers, Except Computer",detailed,"134,110",2.5,51.89,"107,930",0.8,31.17,38.29,49.37,62.57,77.98,"64,840","79,640","102,700","130,150","162,200",,
43-9010,Computer Operators,broad,"34,700",2.8,22.47,"46,750",0.6,13.22,16.95,22.04,27.96,31.31,"27,490","35,260","45,840","58,150","65,130",,
43-9011,Computer Operators,detailed,"34,700",2.8,22.47,"46,750",0.6,13.22,16.95,22.04,27.96,31.31,"27,490","35,260","45,840","58,150","65,130",,
51-4010,Computer Control Programmers and Operators,broad,"171,920",1.4,21.13,"43,940",0.5,13.15,16.08,19.95,25.00,30.52,"27,350","33,450","41,500","52,000","63,480",,
