,keyword,Score,POS,query,time
0,adjustments,0.157,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
1,updates consistent,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
2,type renewal,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
3,track costs,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
4,tools methodologies,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
5,timeline hire,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
6,third party,0.1,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
7,third,0.1,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
8,strong familiarity,0.1,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
9,strategy adjustments,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
10,erp,0.186,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
11,netsuite,0.123,Adverb,Technology Project Manager,2020-02-09 17:57:52.192017
12,manager operations,0.123,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
13,key partners,0.123,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
14,erp manager,0.123,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
15,operations,0.114,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
16,partners,0.101,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
17,partners subject,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
18,matter authorities,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
19,future processes,0.1,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
20,management informed,0.136,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
21,construction,0.128,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
22,informed,0.124,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
23,contractors,0.12,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
24,schedules,0.109,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
25,cost,0.103,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
26,progress,0.094,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
27,field,0.092,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
28,position,0.084,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
29,plan,0.081,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
30,functions,0.131,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
31,modular,0.118,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
32,functions responsibilities,0.118,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
33,experience aec,0.118,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
34,aec industry,0.118,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
35,aec,0.118,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
36,previous,0.089,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
37,industry,0.089,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
38,plus,0.075,,Technology Project Manager,2020-02-09 17:57:52.192017
39,writing scheduling,0.07,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
40,jones,0.182,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
41,dow jones,0.182,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
42,dow,0.182,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
43,news,0.122,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
44,accommodation,0.108,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
45,nws,0.091,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
46,largest,0.091,,Technology Project Manager,2020-02-09 17:57:52.192017
47,reasonable accommodation,0.087,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
48,reasonable,0.087,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
49,qualified,0.074,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
50,salesforce,0.169,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
51,crm,0.109,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
52,engagement,0.101,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
53,analytics,0.092,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
54,report,0.087,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
55,bachelor,0.087,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
56,review,0.085,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
57,documentation,0.085,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
58,identify,0.084,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
59,written,0.067,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
60,mount,0.19,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
61,sinai,0.187,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
62,mount sinai,0.187,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
63,sinai system,0.134,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
64,system,0.123,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
65,patient care,0.108,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
66,medicine,0.108,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
67,patient,0.099,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
68,may,0.092,,Technology Project Manager,2020-02-09 17:57:52.192017
69,care,0.092,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
70,submit form,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
71,prefer failure,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
72,possible answered,0.238,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
73,order enter,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
74,compromise follow,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
75,compromise,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
76,click submit,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
77,blackstone group,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
78,blackstone,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
79,application finished,0.238,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
80,trial,0.115,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
81,case,0.112,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
82,discovery,0.107,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
83,electronic discovery,0.098,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
84,case teams,0.098,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
85,firm,0.095,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
86,firm applications,0.094,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
87,designing databases,0.094,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
88,designing,0.094,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
89,electronic,0.092,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
90,technology products,0.144,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
91,products service,0.144,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
92,client area,0.144,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
93,shift,0.123,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
94,point,0.123,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
95,america,0.117,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
96,area,0.107,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
97,service,0.102,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
98,infrastructure,0.099,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
99,technology,0.086,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
100,fever,0.177,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
101,events,0.161,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
102,events industry,0.126,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
103,brand,0.116,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
104,grow,0.108,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
105,venues event,0.102,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
106,fever events,0.102,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
107,events fever,0.102,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
108,brand partners,0.102,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
109,venues,0.093,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
110,thrive,0.18,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
111,thrive global,0.14,Adjective,Technology Project Manager,2020-02-09 17:57:52.192017
112,lives,0.14,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
113,burnout,0.14,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
114,well,0.113,Adverb,Technology Project Manager,2020-02-09 17:57:52.192017
115,science,0.094,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
116,making,0.086,Verb,Technology Project Manager,2020-02-09 17:57:52.192017
117,world ability,0.082,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
118,wellness perks,0.082,Noun,Technology Project Manager,2020-02-09 17:57:52.192017
