Job_Tittle,Domain,Date,Avg_Salary
IT Project Manager,Information Technology,2020-02-09,103175
Technology Product Manager,Information Technology,2020-02-09,106838
Data Scientist,Information Technology,2020-02-09,123253
DevOps Engineer,Information Technology,2020-02-09,126982
Software Engineer,Information Technology,2020-02-09,107254
Data Engineer,Information Technology,2020-02-09,127179
Solutions Architect,Information Technology,2020-02-09,139443
Data Analyst,Information Technology,2020-02-09,71274
Full Stack Developer,Information Technology,2020-02-09,113481
Development Manager,Information Technology,2020-02-09,143371
CTO,Information Technology,2020-02-09,136139
CIO,Information Technology,2020-02-09,125200
Security Engineer,Information Technology,2020-02-09,106558
Mobile Application Developer,Information Technology,2020-02-09,"122,766 "
Senior Web Developer,Information Technology,2020-02-09,99410
Cloud Solutions Architect,Information Technology,2020-02-09,127028
Information Technology Manager,Information Technology,2020-02-09,95757
Applications Architect,Information Technology,2020-02-09,139443
Big data engineer,Information Technology,2020-02-09,114825
Information systems security manager,Information Technology,2020-02-09,140881
Data security analyst,Information Technology,2020-02-09,87863 
,,,
,,,
,,,
